unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible,solution_count
57610,1091050000,8,a5 b4 b6 c1 d2 e1 f1,12,17,-5,1,0
57633,2172649739,8,a1 a2 a4 b3 d6 e1 f2,14,15,-1,1,0
57671,1091048488,8,a4 a6 b5 c1 d2 e1 f1,15,14,1,1,0
57676,1091049496,8,a4 a5 b6 c1 d2 e1 f1,13,16,-3,1,0
57697,273489,8,a1 a5 b1 b5 b6 c2 d1,15,14,1,1,0
57706,338001,8,a1 a5 b1 b6 c2 c5 d1,14,15,-1,1,0
57714,4466769,8,a1 a5 b1 b6 c2 d1 d5,15,14,1,1,0
57721,42010722,8,a2 a6 b1 b6 c5 d6 e2,15,14,1,1,0
57727,2155939938,8,a2 a6 b1 b6 c5 d6 f2,14,15,-1,1,0
57730,2172717090,8,a2 a6 b6 c5 d6 e1 f2,13,16,-3,1,0
57737,403537,8,a1 a5 b1 b6 c2 c6 d1,15,14,1,1,0
57738,8661073,8,a1 a5 b1 b6 c2 d1 d6,14,15,-1,1,0
57739,25233506,8,a2 a6 b1 b6 c5 d6 e1,14,15,-1,1,0
57740,1082198114,8,a2 a6 b1 b6 c5 d6 f1,15,14,1,1,0
57775,1359484944,8,a5 b6 c1 d2 e1 e5 f1,12,17,-5,1,0
57778,402529,8,a1 a6 b1 b5 c2 c6 d1,17,12,5,1,0
57811,1095243792,8,a5 b6 c1 d2 d5 e1 f1,13,16,-3,1,0
57819,8726593,8,a1 b1 b6 c2 c5 d1 d6,14,15,-1,1,0
57839,1091115024,8,a5 b6 c1 c5 d2 e1 f1,12,17,-5,1,0
57851,25761824,8,a6 b6 c1 c5 d2 d6 e1,12,17,-5,1,0
57860,1091050512,8,a5 b5 b6 c1 d2 e1 f1,13,16,-3,1,0
57875,1091179552,8,a6 b5 c1 c6 d2 e1 f1,15,14,1,1,0
57880,2172717089,8,a1 a6 b6 c5 d6 e1 f2,12,17,-5,1,0
57884,1627920400,8,a5 b6 c1 d2 e1 e6 f1,13,16,-3,1,0
57887,1099438096,8,a5 b6 c1 d2 d6 e1 f1,12,17,-5,1,0
57889,1091180560,8,a5 b6 c1 c6 d2 e1 f1,13,16,-3,1,0
65962,264789,8,a1 a3 a5 b1 b4 b6 d1,13,16,-3,1,0
72038,1090525716,8,a3 a5 b4 b6 c1 e1 f1,12,17,-5,1,0
72860,394345,8,a1 a4 a6 b1 b5 c6 d1,17,12,5,1,0
73343,330321,8,a1 a5 b1 b4 b6 c5 d1,13,16,-3,1,0
74566,1090591248,8,a5 b4 b6 c1 c5 e1 f1,12,17,-5,1,0
74813,1090655272,8,a4 a6 b5 c1 c6 e1 f1,16,13,3,1,0
74913,8661090,8,a2 a6 b1 b6 c2 d1 d6,16,13,3,1,0
74978,2172651618,8,a2 a6 b1 b6 d6 e1 f2,14,15,-1,1,0
75229,1098979344,8,a5 b6 c1 c5 d6 e1 f1,12,17,-5,1,0
77634,10579,8,a1 a2 a5 b1 b3 b6 c2,15,14,1,1,0
77912,10610,8,a2 a5 a6 b1 b3 b6 c2,16,13,3,1,0
78474,272498,8,a2 a5 a6 b1 b6 c2 d1,16,13,3,1,0
78577,2164262995,4,a1 a2 a5 b1 b6 e1 f2,13,16,-3,1,0
78620,2164263026,8,a2 a5 a6 b1 b6 e1 f2,14,15,-1,1,0
80078,6547,8,a1 a2 a5 b2 b3 b6 c1,13,16,-3,1,0
80403,6803,8,a1 a2 a5 b2 b4 b6 c1,12,17,-5,1,0
80407,9586,8,a2 a5 a6 b1 b3 b5 c2,17,12,5,1,0
80703,7315,8,a1 a2 a5 b2 b5 b6 c1,13,16,-3,1,0
81003,14483,8,a1 a2 a5 b2 b6 c1 c2,13,16,-3,1,0
81004,22675,8,a1 a2 a5 b2 b6 c1 c3,12,17,-5,1,0
81005,39059,8,a1 a2 a5 b2 b6 c1 c4,13,16,-3,1,0
81006,71827,8,a1 a2 a5 b2 b6 c1 c5,12,17,-5,1,0
81007,136306,8,a2 a5 a6 b1 b5 c1 c6,16,13,3,1,0
81008,268435,8,a1 a2 a5 b2 b6 c1 d1,13,16,-3,1,0
81009,530579,8,a1 a2 a5 b2 b6 c1 d2,12,17,-5,1,0
81010,1054867,8,a1 a2 a5 b2 b6 c1 d3,13,16,-3,1,0
81011,1180786,8,a2 a5 a6 b1 b5 c6 d3,17,12,5,1,0
81012,656498,8,a2 a5 a6 b1 b5 c6 d2,16,13,3,1,0
81013,394354,8,a2 a5 a6 b1 b5 c6 d1,17,12,5,1,0
81014,16783507,8,a1 a2 a5 b2 b6 c1 e1,12,17,-5,1,0
81015,33560723,8,a1 a2 a5 b2 b6 c1 e2,13,16,-3,1,0
81016,67115155,8,a1 a2 a5 b2 b6 c1 e3,12,17,-5,1,0
81017,67241074,8,a2 a5 a6 b1 b5 c6 e3,16,13,3,1,0
81018,33686642,8,a2 a5 a6 b1 b5 c6 e2,17,12,5,1,0
81019,16909426,8,a2 a5 a6 b1 b5 c6 e1,16,13,3,1,0
81020,1073748115,8,a1 a2 a5 b2 b6 c1 f1,13,16,-3,1,0
81021,2147489939,8,a1 a2 a5 b2 b6 c1 f2,12,17,-5,1,0
81022,2164392133,8,a1 a3 b1 b2 c6 e1 f2,13,16,-3,1,0
81023,2172649669,8,a1 a3 b1 b2 d6 e1 f2,12,17,-5,1,0
81024,2147615858,8,a2 a5 a6 b1 b5 c6 f2,16,13,3,1,0
81025,1073874034,8,a2 a5 a6 b1 b5 c6 f1,17,12,5,1,0
81095,271474,8,a2 a5 a6 b1 b5 c2 d1,17,12,5,1,0
81219,2164263059,8,a1 a2 a5 b2 b6 e1 f2,12,17,-5,1,0
81262,1124075602,8,a2 a5 b1 b6 e1 e2 f1,15,14,1,1,0
