unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible
397302,2441609221,8,a1 a3 d2 d6 e1 e5 f2,11,18,-7,0
397304,4328915234,8,a2 a6 b3 c6 d1 e2 f3,18,11,7,0
397311,4295360866,8,a2 a6 b1 b3 c6 d1 f3,18,11,7,0
397313,5368840546,8,a2 a6 b1 b3 c6 f1 f3,18,11,7,0
397363,1749287944,8,a4 b5 d1 d5 e4 e6 f1,18,11,7,0
397365,1212548104,8,a4 b5 c6 d1 d5 e4 f1,18,11,7,0
397376,1749417992,8,a4 c6 d1 d5 e4 e6 f1,18,11,7,0
397408,1745224712,8,a4 b5 c6 d1 e4 e6 f1,18,11,7,0
397467,33694050,8,a2 a6 b1 b3 c2 c6 e2,18,11,7,0
397469,33956130,8,a2 a6 b3 c2 c6 d1 e2,18,11,7,0
397471,1107435810,8,a2 a6 b3 c2 c6 e2 f1,18,11,7,0
397477,401762,8,a2 a6 b1 b3 c2 c6 d1,18,11,7,0
397479,1073881442,8,a2 a6 b1 b3 c2 c6 f1,18,11,7,0
397507,33948002,8,a2 a6 b1 b3 c6 d1 e2,18,11,7,0
397509,1107427682,8,a2 a6 b1 b3 c6 e2 f1,18,11,7,0
397641,33956192,8,a6 b1 b3 c2 c6 d1 e2,18,11,7,0
397643,1107435872,8,a6 b1 b3 c2 c6 e2 f1,18,11,7,0
398876,362807301,8,a1 a3 d4 d6 e1 e3 e5,11,18,-7,0
398878,2241855493,8,a1 a3 d4 d6 e1 e3 f2,11,18,-7,0
398880,4296417314,8,a2 a6 c2 c6 d1 d3 f3,18,11,7,0
398889,2443182085,8,a1 a3 d4 d6 e1 e5 f2,11,18,-7,0
398891,4329963554,8,a2 a6 c6 d1 d3 e2 f3,18,11,7,0
398898,4296409186,8,a2 a6 b1 c6 d1 d3 f3,18,11,7,0
398946,1615102984,8,a4 b5 c4 d1 d5 e6 f1,18,11,7,0
398948,1078363144,8,a4 b5 c4 c6 d1 d5 f1,18,11,7,0
398958,1615233032,8,a4 c4 c6 d1 d5 e6 f1,18,11,7,0
398990,1611039752,8,a4 b5 c4 c6 d1 e6 f1,18,11,7,0
399049,34742370,8,a2 a6 b1 c2 c6 d3 e2,18,11,7,0
399051,35004450,8,a2 a6 c2 c6 d1 d3 e2,18,11,7,0
399053,1108484130,8,a2 a6 c2 c6 d3 e2 f1,18,11,7,0
399059,1450082,8,a2 a6 b1 c2 c6 d1 d3,18,11,7,0
399061,1074929762,8,a2 a6 b1 c2 c6 d3 f1,18,11,7,0
399089,34996322,8,a2 a6 b1 c6 d1 d3 e2,18,11,7,0
399091,1108476002,8,a2 a6 b1 c6 d3 e2 f1,18,11,7,0
399223,35004512,8,a6 b1 c2 c6 d1 d3 e2,18,11,7,0
399225,1108484192,8,a6 b1 c2 c6 d3 e2 f1,18,11,7,0
399757,2508193797,8,a1 a3 d6 e1 e3 e5 f2,11,18,-7,0
399759,4328923170,8,a2 a6 c2 c6 d1 e2 f3,18,11,7,0
399766,4295368802,8,a2 a6 b1 c2 c6 d1 f3,18,11,7,0
399791,4328915042,8,a2 a6 b1 c6 d1 e2 f3,18,11,7,0
399904,1615201288,8,a4 b5 c6 d1 d5 e6 f1,18,11,7,0
400056,33955938,8,a2 a6 b1 c2 c6 d1 e2,18,11,7,0
400058,1107435618,8,a2 a6 b1 c2 c6 e2 f1,18,11,7,0
491728,42338,8,a2 a6 b1 b3 b5 c2 c4,18,11,7,0
491730,543377,8,a1 a5 b2 b4 b6 c3 d2,11,18,-7,0
491732,1082722,8,a2 a6 b1 b3 b5 c4 d3,18,11,7,0
491734,296290,8,a2 a6 b1 b3 b5 c4 d1,18,11,7,0
491735,16796305,8,a1 a5 b2 b4 b6 c3 e1,11,18,-7,0
491737,67127953,8,a1 a5 b2 b4 b6 c3 e3,11,18,-7,0
491739,33588578,8,a2 a6 b1 b3 b5 c4 e2,18,11,7,0
491742,1645224002,8,a2 b1 c2 d3 e2 e6 f1,18,11,7,0
491744,1108484162,8,a2 b1 c2 c6 d3 e2 f1,18,11,7,0
491746,1073775970,8,a2 a6 b1 b3 b5 c4 f1,18,11,7,0
491767,592529,8,a1 a5 b2 b4 b6 c5 d2,11,18,-7,0
491769,1058146,8,a2 a6 b1 b3 b5 c2 d3,18,11,7,0
491771,271714,8,a2 a6 b1 b3 b5 c2 d1,18,11,7,0
491772,16845457,8,a1 a5 b2 b4 b6 c5 e1,11,18,-7,0
491774,67177105,8,a1 a5 b2 b4 b6 c5 e3,11,18,-7,0
491776,33564002,8,a2 a6 b1 b3 b5 c2 e2,18,11,7,0
491779,1644175682,8,a2 b1 b3 c2 e2 e6 f1,18,11,7,0
491781,1107435842,8,a2 b1 b3 c2 c6 e2 f1,18,11,7,0
491783,1073751394,8,a2 a6 b1 b3 b5 c2 f1,18,11,7,0
491801,2624145,8,a1 a5 b2 b4 b6 d2 d4,11,18,-7,0
491803,4457826,8,a2 a6 b1 b3 b5 d1 d5,18,11,7,0
491804,17304209,8,a1 a5 b2 b4 b6 d2 e1,11,18,-7,0
491806,67635857,8,a1 a5 b2 b4 b6 d2 e3,11,18,-7,0
491808,37750114,8,a2 a6 b1 b3 b5 d5 e2,18,11,7,0
491811,1778393154,8,a2 b1 c2 e2 e4 e6 f1,18,11,7,0
491813,1241653314,8,a2 b1 c2 c6 e2 e4 f1,18,11,7,0
491815,1077937506,8,a2 a6 b1 b3 b5 d5 f1,18,11,7,0
491832,1312098,8,a2 a6 b1 b3 b5 d1 d3,18,11,7,0
491833,18877073,8,a1 a5 b2 b4 b6 d4 e1,11,18,-7,0
491835,69208721,8,a1 a5 b2 b4 b6 d4 e3,11,18,-7,0
491837,34604386,8,a2 a6 b1 b3 b5 d3 e2,18,11,7,0
491840,1644208194,8,a2 b1 c2 c4 e2 e6 f1,18,11,7,0
491842,1107468354,8,a2 b1 c2 c4 c6 e2 f1,18,11,7,0
